Node-name	Hunting-ability
Harper	27
Ethan	23
James	9
John	75
Robert	43
Michael	34
William	24
David	5
Richard	91
Joseph	45
Charles	71
Thomas	44
Oliver	35
Jack	4
Harry	41
Jacob	31
Charlie	93
George	25
Oscar	18
Jake	9
Connor	58
Callum	44
Kyle	71
Joe	53
Reece	6
Rhys	91
Damian	86
Noah	57
Liam	2
Mason	59
Alexander	65
Daniel	75
Amelia	74
Olivia	20
Isla	42
Emily	79
Poppy	33
Ava	35
Isabella	84
Jessica	57
Lily	45
Sophie	36
Margaret	35
Samantha	58
Bethany	14
Elizabeth	27
Joanne	97
Megan	99
Victoria	25
Lauren	82
Michelle	56
Tracy	31
Emma	17
Sophia	35
Mia	54
Abigail	61
Madison	69
Charlotte	60
Mary	10
Patricia	90
Jennifer	14
Linda	91
Barbara	11
Susan	49
Sarah	68
