first-node-name	second-node-name	relationship
Damian	Harper	Left-Child
Harper	Ethan	Right-Sibling
Ethan	James	Right-Sibling
James	John	Right-Sibling
Harper	Robert	Left-Child
Ethan	Michael	Left-Child
James	William	Left-Child
John	David	Left-Child
Robert	Richard	Right-Sibling
Richard	Joseph	Right-Sibling
Joseph	Charles	Right-Sibling
Charles	Thomas	Right-Sibling
Michael	Oliver	Right-Sibling
William	Jack	Right-Sibling
Jack	Harry	Right-Sibling
David	Jacob	Right-Sibling
Jacob	Charlie	Right-Sibling
Charlie	George	Right-Sibling
Robert	Bethany	Left-Child
Michael	Elizabeth	Left-Child
David	Joanne	Left-Child
Richard	Oscar	Left-Child
Joseph	Jake	Left-Child
Charles	Connor	Left-Child
Thomas	Callum	Left-Child
Oliver	Kyle	Left-Child
Jack	Joe	Left-Child
Harry	Reece	Left-Child
Jacob	Rhys	Left-Child
Charlie	Noah	Left-Child
George	Liam	Left-Child
Oscar	Mason	Right-Sibling
Jake	Alexander	Right-Sibling
Alexander	Daniel	Right-Sibling
Connor	Amelia	Right-Sibling
Callum	Olivia	Right-Sibling
Joe	Isla	Right-Sibling
Isla	Emily	Right-Sibling
Emily	Poppy	Right-Sibling
Rhys	Ava	Right-Sibling
Ava	Isabella	Right-Sibling
Isabella	Jessica	Right-Sibling
Jessica	Lily	Right-Sibling
Noah	Sophie	Right-Sibling
Liam	Margaret	Right-Sibling
Margaret	Samantha	Right-Sibling
Elizabeth	Megan	Left-Child
Joanne	Victoria	Left-Child
Oscar	Lauren	Left-Child
Sophie	Michelle	Left-Child
Connor	Tracy	Left-Child
Jessica	Emma	Left-Child
Kyle	Sophia	Left-Child
Joe	Mia	Left-Child
Samantha	Abigail	Left-Child
Rhys	Madison	Left-Child
Noah	Charlotte	Left-Child
Liam	Mary	Left-Child
Mason	Patricia	Left-Child
Ava	Jennifer	Left-Child
Daniel	Linda	Left-Child
Amelia	Barbara	Left-Child
Olivia	Susan	Left-Child
Isla	Sarah	Left-Child
